end station id,end station latitude,end station longitude,end station name,count
72,40.76727216,-73.99392888,W 52 St & 11 Ave,3789
79,40.71911552,-74.00666661,Franklin St & W Broadway,2460
82,40.71117416,-74.00016545,St James Pl & Pearl St,1292
83,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl,1980
116,40.74177603,-74.00149746,W 17 St & 8 Ave,5077
119,40.69608941,-73.97803415,Park Ave & St Edwards St,537
120,40.68676793,-73.95928168,Lexington Ave & Classon Ave,1528
127,40.73172428,-74.00674436,Barrow St & Hudson St,5324
128,40.72710258,-74.00297088,MacDougal St & Prince St,6104
143,40.69239502,-73.99337909,Clinton St & Joralemon St,1812
144,40.69839895,-73.98068914,Nassau St & Navy St,1486
146,40.71625008,-74.0091059,Hudson St & Reade St,2698
150,40.720873600000004,-73.98085795,E 2 St & Avenue C,3492
151,40.72210378668603,-73.99724900722505,Cleveland Pl & Spring St,8336
152,40.71473993,-74.00910627,Warren St & W Broadway,395
157,40.69089272,-73.99612349,Henry St & Atlantic Ave,2199
161,40.72917025,-73.99810231,LaGuardia Pl & W 3 St,4949
164,40.75323098,-73.97032517,E 47 St & 2 Ave,2960
168,40.73971301,-73.99456405,W 18 St & 6 Ave,3104
173,40.76068327096592,-73.98452728986742,Broadway & W 49 St,4968
174,40.7381765,-73.97738662,E 25 St & 1 Ave,4069
212,40.74334935,-74.00681753,W 16 St & The High Line,3881
216,40.70037867,-73.99548059,Columbia Heights & Cranberry St,998
217,40.70277159,-73.99383605,Old Fulton St,3335
223,40.73781509,-73.99994661,W 13 St & 7 Ave,4364
224,40.71146364,-74.00552427,Spruce St & Nassau St,2477
228,40.7546011026,-73.971878855,E 48 St & 3 Ave,2607
229,40.72743423,-73.99379025,Great Jones St,5448
236,40.7284186,-73.98713956,St Marks Pl & 2 Ave,7852
237,40.73047309,-73.98672378,E 11 St & 2 Ave,1115
238,40.7361967,-74.00859207,Bank St & Washington St,3612
239,40.69196566,-73.9813018,Willoughby St & Fleet St,2021
241,40.68981035,-73.97493121,DeKalb Ave & S Portland Ave,2648
242,40.697787,-73.973736,Carlton Ave & Flushing Ave,917
244,40.69196035,-73.96536851,Willoughby Ave & Hall St,1537
245,40.69327018,-73.97703874,Myrtle Ave & St Edwards St,1201
247,40.73535398,-74.00483091,Perry St & Bleecker St,5102
248,40.72185379,-74.00771779,Laight St & Hudson St,1039
249,40.71870987,-74.0090009,Harrison St & Hudson St,1434
250,40.72456089,-73.99565293,Lafayette St & Jersey St,5622
251,40.72317958,-73.99480012,Mott St & Prince St,6250
252,40.73226398,-73.99852205,MacDougal St & Washington Sq,3976
254,40.73532427,-73.99800419,W 11 St & 6 Ave,3530
257,40.71939226,-74.00247214,Lispenard St & Broadway,3721
258,40.68940747,-73.96885458,DeKalb Ave & Vanderbilt Ave,2306
259,40.70122128,-74.01234218,South St & Whitehall St,3361
260,40.70365182,-74.01167797,Broad St & Bridge St,1569
261,40.69474881,-73.98362464,Johnson St & Gold St,1239
262,40.6917823,-73.97372990000001,Washington Park,1739
264,40.70706456,-74.00731853,Maiden Ln & Pearl St,2378
265,40.72229346,-73.99147535,Stanton St & Chrystie St,4098
267,40.75097711,-73.98765428,Broadway & W 36 St,2832
268,40.71910537,-73.99973337,Howard St & Centre St,3635
270,40.69308257,-73.97178913,Adelphi St & Myrtle Ave,1509
274,40.68691865,-73.976682,Lafayette Ave & Fort Greene Pl,2541
275,40.68650065,-73.96563307,Washington Ave & Greene Ave,1244
276,40.71748752,-74.0104554,Duane St & Greenwich St,1764
278,40.69766564,-73.98476437,Concord St & Bridge St,1240
280,40.73331967,-73.99510132,E 10 St & 5 Ave,3058
281,40.764397100000004,-73.97371465,Grand Army Plaza & Central Park S,938
282,40.7076449441757,-73.96841526031494,Kent Ave & S 11 St,3037
284,40.7390169121,-74.0026376103,Greenwich Ave & 8 Ave,7835
285,40.73454567,-73.99074142,Broadway & E 14 St,7713
289,40.684568299999995,-73.95881081,Monroe St & Classon Ave,833
291,40.713126,-73.984844,Madison St & Montgomery St,2245
293,40.73020660529954,-73.99102628231049,Lafayette St & E 8 St,7064
295,40.71406667,-73.99293911,Pike St & E Broadway,2963
297,40.734232,-73.986923,E 15 St & 3 Ave,6376
298,40.68683208,-73.9796772,3 Ave & Schermerhorn St,2025
301,40.72217444,-73.98368779,E 2 St & Avenue B,5810
302,40.72082834,-73.97793172,Avenue D & E 3 St,2878
303,40.72362738,-73.99949601,Mercer St & Spring St,5114
304,40.70463334,-74.01361706,Broadway & Battery Pl,4061
305,40.76095756,-73.96724467,E 58 St & 3 Ave,5242
307,40.71427487,-73.98990025,Canal St & Rutgers St,5790
308,40.71307916,-73.99851193,St James Pl & Oliver St,2698
309,40.7149787,-74.013012,Murray St & West St,3323
310,40.68926942,-73.98912867,State St & Smith St,1914
311,40.7172274,-73.98802084,Norfolk St & Broome St,5089
312,40.722055,-73.989111,Allen St & Stanton St,5520
313,40.69610226,-73.96751037,Washington Ave & Park Ave,1384
315,40.70355377,-74.00670227,South St & Gouverneur Ln,3353
316,40.70955958,-74.00653609,Fulton St & William St,2614
317,40.72453734,-73.98185424,E 6 St & Avenue B,6212
319,40.711065999999995,-74.009447,Fulton St & Broadway,5362
320,40.717571,-74.005549,Leonard St & Church St,3298
321,40.69991755,-73.98971773,Cadman Plaza E & Red Cross Pl,1312
323,40.69236178,-73.98631746,Lawrence St & Willoughby St,2479
324,40.689888,-73.981013,DeKalb Ave & Hudson Ave,2069
325,40.73624527,-73.98473765,E 19 St & 3 Ave,5334
326,40.72953837,-73.98426726,E 11 St & 1 Ave,1232
327,40.715337899999994,-74.01658354,Vesey Pl & River Terrace,4481
328,40.72405549,-74.00965965,Watts St & Greenwich St,3361
330,40.71450451,-74.00562789,Reade St & Broadway,2127
331,40.71173107,-73.99193043,Pike St & Monroe St,2870
332,40.71219906,-73.97948148,Cherry St,2893
334,40.74238787,-73.99726235,W 20 St & 7 Ave,5250
335,40.72903917,-73.99404649,Washington Pl & Broadway,3524
336,40.73047747,-73.99906065,Sullivan St & Washington Sq,4479
340,40.71269042,-73.98776323,Madison St & Clinton St,2990
341,40.71782143,-73.97628939,Stanton St & Mangin St,2474
342,40.71739973,-73.98016555,Columbia St & Rivington St,2215
343,40.69794,-73.96986848,Clinton Ave & Flushing Ave,1012
344,40.6851443,-73.95380904,Monroe St & Bedford Ave,1444
346,40.73652889,-74.00618026,Bank St & Hudson St,4385
347,40.728846000000004,-74.00859100000001,Greenwich St & W Houston St,5160
349,40.71850211,-73.98329859,Rivington St & Ridge St,3554
350,40.71559509,-73.9870295,Clinton St & Grand St,6691
351,40.70530954,-74.00612572,Front St & Maiden Ln,1614
353,40.68539567,-73.97431458,S Portland Ave & Hanson Pl,1397
354,40.69363137,-73.96223558,Emerson Pl & Myrtle Ave,1718
355,40.71602118,-73.99974372,Bayard St & Baxter St,4222
356,40.71622644,-73.98261206,Bialystoker Pl & Delancey St,217
358,40.73291553,-74.00711384,Christopher St & Greenwich St,9447
359,40.75510267,-73.97498696,E 47 St & Park Ave,3433
360,40.70717936,-74.00887308,William St & Pine St,3962
361,40.71605866,-73.99190759,Allen St & Hester St,5381
362,40.75172632,-73.98753523,Broadway & W 37 St,2246
363,40.70834698,-74.01713445,West Thames St,2536
364,40.68900443,-73.96023854,Lafayette Ave & Classon Ave,1459
366,40.693261,-73.968896,Clinton Ave & Myrtle Ave,1960
367,40.75828065,-73.97069431,E 53 St & Lexington Ave,3202
368,40.73038599,-74.00214988,Carmine St & 6 Ave,8522
369,40.73224119,-74.00026394,Washington Pl & 6 Ave,4362
372,40.694546087246025,-73.95801365375519,Franklin Ave & Myrtle Ave,858
373,40.69331716,-73.95381995,Willoughby Ave & Walworth St,1245
376,40.70862144,-74.00722156,John St & William St,2316
377,40.72243797,-74.00566443,6 Ave & Canal St,2550
379,40.749156,-73.9916,W 31 St & 7 Ave,5516
380,40.73401143,-74.00293877,W 4 St & 7 Ave S,7331
383,40.735238,-74.000271,Greenwich Ave & Charles St,4638
385,40.75797322,-73.96603308,E 55 St & 2 Ave,4895
386,40.71494807,-74.00234482,Centre St & Worth St,2101
387,40.71273266,-74.0046073,Centre St & Chambers St,3968
388,40.749717753,-74.002950346,W 26 St & 10 Ave,3549
389,40.71044554,-73.96525063,Broadway & Berry St,2812
390,40.69221589,-73.9842844,Duffield St & Willoughby St,2022
391,40.69760127,-73.99344559,Clark St & Henry St,2278
392,40.695065,-73.987167,Jay St & Tech Pl,2883
393,40.72299208,-73.97995466,E 5 St & Avenue C,3280
394,40.72521311,-73.97768752,E 9 St & Avenue C,2399
396,40.680342423,-73.9557689392,Lefferts Pl & Franklin Ave,977
397,40.68415748,-73.96922273,Fulton St & Clermont Ave,1094
398,40.69165183,-73.99997859999999,Atlantic Ave & Furman St,3146
399,40.68851534,-73.9647628,Lafayette Ave & St James Pl,1428
400,40.71926081,-73.98178024,Pitt St & Stanton St,1080
401,40.72019576,-73.98997825,Allen St & Rivington St,5531
402,40.740343200000005,-73.98955109,Broadway & E 22 St,8228
403,40.72502876,-73.99069656,E 2 St & 2 Ave,4595
405,40.739323,-74.008119,Washington St & Gansevoort St,5623
406,40.69512845,-73.99595065,Hicks St & Montague St,1855
408,40.71076228,-73.99400398,Market St & Cherry St,1763
410,40.72066442,-73.98517977,Suffolk St & Stanton St,5204
411,40.72228087,-73.97668709,E 6 St & Avenue D,4886
412,40.715815500000005,-73.99422366,Forsyth St & Canal St,4888
415,40.7047177,-74.00926027,Pearl St & Hanover Square,3385
416,40.68753406,-73.97265183,Cumberland St & Lafayette Ave,1532
417,40.71291224,-74.01020234,Barclay St & Church St,2200
418,40.70224,-73.982578,Front St & Gold St,1272
419,40.69580705,-73.97355569,Carlton Ave & Park Ave,742
420,40.68764484,-73.96968902,Clermont Ave & Lafayette Ave,1170
421,40.69573398,-73.97129668,Clermont Ave & Park Ave,748
422,40.770513,-73.988038,W 59 St & 10 Ave,4382
423,40.76584941,-73.98690506,W 54 St & 9 Ave,4249
426,40.71754834,-74.01322069,West St & Chambers St,10769
427,40.701907,-74.013942,Bus Slip & State St,1896
432,40.72621788,-73.98379855,E 7 St & Avenue A,6395
434,40.74317449,-74.00366443,9 Ave & W 18 St,3675
